Galaxy wrapper id	Galaxy tool ids	Description	bio.tool id	bio.tool ids	biii	bio.tool name	bio.tool description	EDAM operation	EDAM topic	Status	Source	ToolShed categories	ToolShed id	Date of first commit of the suite	Galaxy wrapper owner	Galaxy wrapper source	Galaxy wrapper parsed folder	Galaxy wrapper version	Conda id	Conda version	EDAM operation (no superclasses)	EDAM topic (no superclasses)	Available on UseGalaxy.org (Main)	Available on UseGalaxy.org.au	Available on UseGalaxy.eu	Available on UseGalaxy.fr	Tools available on UseGalaxy.org (Main)	Tools available on UseGalaxy.org.au	Tools available on UseGalaxy.eu	Tools available on UseGalaxy.fr	Tools available on APOSTL	Tools available on ARGs-OAP	Tools available on CIRM-CFBP	Tools available on ChemFlow	Tools available on Coloc-stats	Tools available on CropGalaxy	Tools available on Dintor	Tools available on GASLINI	Tools available on Galaxy@AuBi	Tools available on Galaxy@Pasteur	Tools available on GalaxyTrakr	Tools available on Genomic Hyperbrowser	Tools available on GigaGalaxy	Tools available on HyPhy HIV NGS Tools	Tools available on IPK Galaxy Blast Suite	Tools available on ImmPort Galaxy	Tools available on InteractoMIX	Tools available on MISSISSIPPI	Tools available on Mandoiu Lab	Tools available on MiModD NacreousMap	Tools available on Oqtans	Tools available on Palfinder	Tools available on PepSimili	Tools available on PhagePromotor	Tools available on UseGalaxy.be	Tools available on UseGalaxy.cz	Tools available on UseGalaxy.no	Tools available on Viral Variant Visualizer (VVV)	No. of tool users (5 years) (usegalaxy.eu)	No. of tool users (all time) (usegalaxy.eu)	Tool usage (5 years) (usegalaxy.eu)	Tool usage (all time) (usegalaxy.eu)	No. of tool users (5 years) (usegalaxy.org)	No. of tool users (all time) (usegalaxy.org)	Tool usage (5 years) (usegalaxy.org)	Tool usage (all time) (usegalaxy.org)	No. of tool users (5 years) (usegalaxy.org.au)	No. of tool users (all time) (usegalaxy.org.au)	Tool usage (5 years) (usegalaxy.org.au)	Tool usage (all time) (usegalaxy.org.au)	No. of tool users (5 years) - all main servers	No. of tool users (all time) - all main servers	Tool usage (5 years) - all main servers	Tool usage (all time) - all main servers	Reviewed	Deprecated	To keep
raceid	raceid_clustering, raceid_filtnormconf, raceid_inspectclusters, raceid_inspecttrajectory, raceid_trajectory	RaceID3, StemID2, FateID - scRNA analysis								To update	https://github.com/dgrun/RaceID3_StemID2_package/	Single Cell, Transcriptomics		2021-04-14	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/raceid3	https://github.com/galaxyproject/tools-iuc/tree/main/tools/raceid	0.2.3	r-raceid	0.1.3			5	5	5	1	5	5	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	3077	4581	395	518	2856	2856	1093	1093	1977	1977	19	19	7910	9414	1507	1630	True	False	True
repenrich	edger-repenrich, repenrich	Repeat element profiling								To update	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich	Transcriptomics	repenrich	2017-05-31	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich	2.31.1					0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725	1790	56	57	1725	1790	56	57	True	False	False
repenrich2	edger-repenrich2, repenrich2	Repeat element profiling using bowtie2 aligner								To update	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich2	Transcriptomics	repenrich2	2024-04-20	artbio	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich2	https://github.com/ARTbio/tools-artbio/tree/main/tools/repenrich2	2.31.1					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False	False
rgrnastar	rna_star, rna_starsolo	RNA STAR is an ultra fast universal RNA and scRNA-seq aligner and mapper	star	star		STAR	Ultrafast universal RNA-seq data aligner	Sequence alignment	RNA-Seq, Transcriptomics	To update	https://github.com/alexdobin/STAR	Next Gen Mappers, Transcriptomics	rgrnastar	2023-02-27	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/rgrnastar	https://github.com/galaxyproject/tools-iuc/tree/main/tools/rgrnastar	2.7.11a	star	2.7.11b	Sequence alignment	RNA-Seq, Transcriptomics	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	0	438078	473957	10142	10900	325474	403925	15284	18791	49662	53138	1359	1449	813214	931020	26785	31140	True	False	True
ribowaltz	ribowaltz_process, ribowaltz_plot	Calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data	riboWaltz	riboWaltz		riboWaltz	riboWaltz is an R package for calculation of optimal P-site offsets, diagnostic analysis and visual inspection of ribosome profiling data.		Computational biology	To update	https://github.com/LabTranslationalArchitectomics/riboWaltz	Transcriptomics, RNA		2022-09-22	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/ribowaltz	https://github.com/galaxyproject/tools-iuc/tree/main/tools/ribowaltz	1.2.0	ribowaltz	2.0		Computational biology	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	171	171	20	20	0	0	0	0	0	0	0	0	171	171	20	20	True	False	False
rsem	extract_transcript_to_gene_map_from_trinity, purgegtffrommultichromgenes, rsembowtie2, rsembowtie	transcript quantification from RNA-Seq data								To update	https://github.com/deweylab/RSEM	Transcriptomics, RNA	rsem	2018-03-28	artbio	https://github.com/artbio/tools-artbio/tree/master/tools/rsem	https://github.com/ARTbio/tools-artbio/tree/main/tools/rsem		rsem	1.3.3			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	363	430	158	183	0	0	0	0	67	146	13	39	430	576	171	222	True	False	False
rseqc	rseqc_FPKM_count, rseqc_RNA_fragment_size, rseqc_RPKM_saturation, rseqc_bam2wig, rseqc_bam_stat, rseqc_clipping_profile, rseqc_deletion_profile, rseqc_geneBody_coverage, rseqc_geneBody_coverage2, rseqc_infer_experiment, rseqc_inner_distance, rseqc_insertion_profile, rseqc_junction_annotation, rseqc_junction_saturation, rseqc_mismatch_profile, rseqc_read_GC, rseqc_read_NVC, rseqc_read_distribution, rseqc_read_duplication, rseqc_read_hexamer, rseqc_read_quality, rseqc_tin	an RNA-seq quality control package	rseqc	rseqc		RSeQC	Provides a number of useful modules that can comprehensively evaluate high throughput sequence data especially RNA-seq data. Some basic modules quickly inspect sequence quality, nucleotide composition bias, PCR bias and GC bias, while RNA-seq specific modules evaluate sequencing saturation, mapped reads distribution, coverage uniformity, strand specificity, transcript level RNA integrity etc.	Data handling	Sequencing	To update	https://code.google.com/p/rseqc/	Convert Formats, Sequence Analysis, RNA, Transcriptomics, Visualization	rseqc	2017-02-27	nilesh	https://github.com/galaxyproject/tools-iuc/tree/master/tools/rseqc	https://github.com/galaxyproject/tools-iuc/tree/main/tools/rseqc	5.0.3	rseqc	5.0.4	Data handling	Sequencing	22	22	22	22	22	22	22	22	0	0	0	0	0	0	0	0	22	0	0	0	0	22	0	0	0	22	0	0	0	0	0	0	22	22	22	0	136315	147595	8341	9385	138707	161046	10696	12789	22718	23767	1593	1695	297740	332408	20630	23869	True	False	False
ruvseq	ruvseq	Remove Unwanted Variation from RNA-Seq Data	ruvseq	ruvseq		RUVSeq	This package implements the remove unwanted variation (RUV) methods for the normalization of RNA-Seq read counts between samples.	Differential gene expression analysis	Gene expression, RNA-seq	To update	https://www.bioconductor.org/packages/release/bioc/html/DESeq2.html	Transcriptomics, RNA, Statistics	ruvseq	2018-08-30	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/ruvseq	https://github.com/galaxyproject/tools-iuc/tree/main/tools/ruvseq	1.26.0	bioconductor-ruvseq	1.36.0	Differential gene expression analysis	Gene expression	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1286	1364	178	193	2220	2220	299	299	0	0	0	0	3506	3584	477	492	True	False	False
salmon	alevin, salmon, salmonquantmerge	Salmon is a wicked-fast program to produce a highly-accurate, transcript-level quantification estimates from RNA-seq and single-cell data.	salmon	salmon		Salmon	A tool for transcript expression quantification from RNA-seq data	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis	RNA-Seq, Gene expression, Transcriptomics	To update	https://github.com/COMBINE-lab/salmon	Sequence Analysis, RNA, Transcriptomics		2019-09-18	bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/salmon	https://github.com/bgruening/galaxytools/tree/master/tools/salmon	1.10.1	salmon	1.10.3	Sequence composition calculation, RNA-Seq quantification, Gene expression analysis	RNA-Seq, Transcriptomics	2	2	3	1	2	2	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	3	3	3	0	73085	77081	2243	2319	90634	122835	3402	4726	13371	15818	513	586	177090	215734	6158	7631	True	False	True
sashimi_plot	sashimi_plot	Generates a sashimi plot from bam files.								To update	http://artbio.fr	RNA, Transcriptomics, Graphics, Visualization	sashimi_plot	2019-08-21	artbio	https://github.com/ARTbio/tools-artbio/tree/master/tools/sashimi_plot	https://github.com/ARTbio/tools-artbio/tree/main/tools/sashimi_plot	0.1.1	python				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False	False
sc3	sc3_calc_biology, sc3_calc_consens, sc3_calc_dists, sc3_calc_transfs, sc3_estimate_k, sc3_kmeans, sc3_prepare	De-composed SC3 functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-sc3-scripts and SC3 1.8.0.								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_sc3	2018-11-05	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/sc3	1.8.0	sc3-scripts	0.0.6			0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	10	10	0	0	0	0	0	0	0	0	13	13	10	10	True	False	True
scanpy	anndata_ops, scanpy_filter_cells, scanpy_filter_genes, scanpy_find_cluster, scanpy_find_markers, scanpy_find_variable_genes, scanpy_integrate_bbknn, scanpy_integrate_combat, scanpy_integrate_harmony, scanpy_integrate_mnn, scanpy_plot_scrublet, scanpy_multiplet_scrublet, scanpy_compute_graph, scanpy_normalise_data, scanpy_parameter_iterator, scanpy_plot_embed, scanpy_plot_trajectory, scanpy_read_10x, scanpy_regress_variable, scanpy_run_diffmap, scanpy_run_dpt, scanpy_run_fdg, scanpy_run_paga, scanpy_run_pca, scanpy_run_tsne, scanpy_run_umap, scanpy_scale_data	scanpy-scripts, command-line wrapper scripts around Scanpy.								To update	https://scanpy.readthedocs.io	Transcriptomics, Sequence Analysis, RNA	scanpy_scripts	2020-09-29	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/develop/tools/tertiary-analysis/scanpy	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/scanpy	1.9.3	scanpy-scripts	1.9.301			27	27	27	0	27	27	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	0	45501	45666	4832	4868	7304	7304	1846	1846	3106	3106	457	457	55911	56076	7135	7171	True	False	True
scanpy	scanpy_cluster_reduce_dimension, scanpy_filter, scanpy_inspect, scanpy_normalize, scanpy_plot, scanpy_remove_confounders	Scanpy – Single-Cell Analysis in Python	scanpy	scanpy		SCANPY	Scalable toolkit for analyzing single-cell gene expression data. It includes preprocessing, visualization, clustering, pseudotime and trajectory inference and differential expression testing. The Python-based implementation efficiently deals with datasets of more than one million cells.	Differential gene expression analysis	Gene expression, Cell biology, Genetics	To update	https://scanpy.readthedocs.io	Single Cell, Spatial Omics, Transcriptomics	scanpy	2024-09-03	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scanpy/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scanpy	1.10.2	scanpy	1.7.2	Differential gene expression analysis	Gene expression, Cell biology, Genetics	6	6	6	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	0	63789	64034	2543	2547	29962	29962	1185	1185	18028	18028	379	379	111779	112024	4107	4111	True	False	True
scater	scater_calculate_cpm, scater_calculate_qc_metrics, scater_filter, scater_is_outlier, scater_normalize, scater_read_10x_results	De-composed Scater functionality tools, based on https://github.com/ebi-gene-expression-group/bioconductor-scater-scripts and Scater 1.8.4.								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_scater	2018-10-11	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/scater	1.10.0	scater-scripts	0.0.5			1	2	6	0	1	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	381	388	99	100	0	0	0	0	297	297	9	9	678	685	108	109	True	False	True
scater	scater_create_qcmetric_ready_sce, scater_filter, scater_plot_dist_scatter, scater_plot_pca, scater_plot_tsne	Scater (Single-Cell Analysis Toolkit for gene Expression data in R) is acollection of tools for doing various analyses of single-cell RNA-seq geneexpression data, with a focus on quality control and visualization.	scater	scater		scater	Pre-processing, quality control, normalization and visualization of single-cell RNA-seq data.	Read pre-processing, Sequencing quality control, Sequence visualisation	RNA-seq, Quality affairs, Molecular genetics	To update	http://bioconductor.org/packages/scater/	Single Cell, Transcriptomics, Visualization		2019-07-18	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scater	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scater	1.22.0	bioconductor-scater	1.30.1	Read pre-processing, Sequence visualisation	Quality affairs, Molecular genetics	0	5	5	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	0	1345	1371	350	351	0	0	0	0	903	903	29	29	2248	2274	379	380	True	False	True
sccaf	run_sccaf, sccaf_asses, sccaf_asses_merger, sccaf_regress_out	SCCAF: Single Cell Clustering Assessment Framework.								To update	https://github.com/sccaf/sccaf	Transcriptomics	SCCAF	2019-10-20	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/develop/tools/tertiary-analysis/sccaf	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/sccaf	0.0.9	sccaf	0.0.10			4	3	4	0	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	110	19	19	0	0	0	0	0	0	0	0	110	110	19	19	True	False	True
sceasy	sceasy_convert	Convert scRNA data object between popular formats								To update		Transcriptomics	sceasy	2019-10-14	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/sceasy	0.0.5	r-sceasy	0.0.7			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1059	1059	222	222	426	426	71	71	1	1	1	1	1486	1486	294	294	True	False	True
sceasy	sceasy_convert	Converter between difference single-cell formats								Up-to-date	https://github.com/cellgeni/sceasy/	Single Cell, Spatial Omics, Convert Formats	sceasy_convert	2023-11-10	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/sceasy/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/sceasy	0.0.7	r-sceasy	0.0.7			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1059	1059	222	222	426	426	71	71	1	1	1	1	1486	1486	294	294	True	False	True
schicexplorer	schicexplorer_schicadjustmatrix, schicexplorer_schiccluster, schicexplorer_schicclustercompartments, schicexplorer_schicclusterminhash, schicexplorer_schicclustersvl, schicexplorer_schicconsensusmatrices, schicexplorer_schiccorrectmatrices, schicexplorer_schiccreatebulkmatrix, schicexplorer_schicdemultiplex, schicexplorer_schicinfo, schicexplorer_schicmergematrixbins, schicexplorer_schicmergetoscool, schicexplorer_schicnormalize, schicexplorer_schicplotclusterprofiles, schicexplorer_schicplotconsensusmatrices, schicexplorer_schicqualitycontrol	scHiCExplorer: Set of programs to process, analyze and visualize scHi-C data.								To update	https://github.com/joachimwolff/schicexplorer	Sequence Analysis, Transcriptomics, Visualization, Single Cell	schicexplorer	2019-12-16	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/schicexplorer	https://github.com/galaxyproject/tools-iuc/tree/main/tools/schicexplorer	4	schicexplorer	7			16	16	16	0	16	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	0	809	809	78	78	3	3	2	2	105	105	16	16	917	917	96	96	True	False	True
scmap	scmap_get_std_output, scmap_index_cell, scmap_index_cluster, scmap_preprocess_sce, scmap_scmap_cell, scmap_scmap_cluster, scmap_select_features	De-composed scmap functionality tools, based on https://github.com/ebi-gene-expression-group/scmap-cli and scmap 1.6.0.								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_scmap	2019-08-30	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/scmap	1.6.4	scmap-cli	0.1.0			0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	97	97	41	41	0	0	0	0	0	0	0	0	97	97	41	41	True	False	True
scpipe	scpipe	A flexible preprocessing pipeline for single-cell RNA-sequencing data	scpipe	scpipe		scPipe	A preprocessing pipeline for single cell RNA-seq data that starts from the fastq files and produces a gene count matrix with associated quality control information. It can process fastq data generated by CEL-seq, MARS-seq, Drop-seq, Chromium 10x and SMART-seq protocols.	Genome annotation, Validation, Alignment, Visualisation	Gene expression, RNA-Seq, Sequencing	To update	http://bioconductor.org/packages/release/bioc/html/scPipe.html	Transcriptomics, Single Cell	scpipe	2018-08-13	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/scpipe	https://github.com/galaxyproject/tools-iuc/tree/main/tools/scpipe	1.0.0+galaxy2	bioconductor-scpipe	2.2.0	Genome annotation, Validation, Alignment, Visualisation	Gene expression, RNA-Seq	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	284	632	34	38	786	786	61	61	1	1	1	1	1071	1419	96	100	True	False	True
scpred	scpred_get_feature_space, scpred_get_std_output, scpred_predict_labels, scpred_train_model	De-composed scPred functionality tools, see https://github.com/ebi-gene-expression-group/scpred-cli and r-scPred 1.0								To update		Transcriptomics, RNA, Statistics, Sequence Analysis	suite_scpred	2020-04-07	ebi-gxa	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/scpred	1.0.2	scpred-cli	0.1.0			0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	5	5	0	0	0	0	0	0	0	0	25	25	5	5	True	False	True
seurat	seurat_convert, seurat_dim_plot, seurat_export_cellbrowser, seurat_filter_cells, seurat_find_clusters, seurat_find_markers, seurat_find_neighbours, seurat_find_variable_genes, seurat_hover_locator, seurat_integration, seurat_map_query, seurat_normalise_data, seurat_plot, seurat_read10x, seurat_run_pca, seurat_run_tsne, seurat_run_umap, seurat_scale_data, seurat_select_integration_features	De-composed Seurat functionality tools, based on https://github.com/ebi-gene-expression-group/r-seurat-scripts and Seurat 2.3.1								To update	https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/	Transcriptomics, RNA, Statistics, Sequence Analysis	suite_seurat	2018-07-09	ebi-gxa		https://github.com/ebi-gene-expression-group/container-galaxy-sc-tertiary/tree/main/tools/tertiary-analysis/seurat	4.0.0	seurat-scripts	4.4.0			14	14	14	11	14	14	14	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	2296	2328	673	676	141	141	39	39	0	0	0	0	2437	2469	712	715	True	False	True
seurat	seurat_create, seurat_data, seurat_integrate, seurat_clustering, seurat_preprocessing, seurat_plot, seurat_reduce_dimension	Seurat - R toolkit for single cell genomics								To update	https://satijalab.org/seurat/	Single Cell, Transcriptomics, Sequence Analysis	seurat	2020-07-22	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/seurat_v5	https://github.com/galaxyproject/tools-iuc/tree/main/tools/seurat	5.0	r-seurat	3.0.2			1	1	7	1	1	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	121	121	11	11	32	32	5	5	0	0	0	0	153	153	16	16	True	False	True
sinto	sinto_barcode, sinto_fragments	Sinto single-cell analysis tools								Up-to-date	https://github.com/timoast/sinto	Single Cell, Epigenetics		2023-04-12	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/sinto	https://github.com/galaxyproject/tools-iuc/tree/main/tools/sinto	0.10.1	sinto	0.10.1			2	2	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	284	284	70	70	165	165	38	38	14	14	2	2	463	463	110	110	True	False	True
slamdunk	alleyoop, slamdunk	Slamdunk maps and quantifies SLAMseq reads								Up-to-date	http://t-neumann.github.io/slamdunk	RNA, Transcriptomics, Sequence Analysis, Next Gen Mappers	slamdunk	2019-01-20	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/slamdunk	https://github.com/galaxyproject/tools-iuc/tree/main/tools/slamdunk	0.4.3	slamdunk	0.4.3			2	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	346	362	16	16	872	872	67	67	0	0	0	0	1218	1234	83	83	True	False	False
sleuth	sleuth	Sleuth is a program for differential analysis of RNA-Seq data.	sleuth	sleuth		sleuth	A statistical model and software application for RNA-seq differential expression analysis.	Expression data visualisation, Differential gene expression analysis, Gene expression profiling, Statistical calculation	RNA-seq, Gene expression, Statistics and probability	Up-to-date	https://github.com/pachterlab/sleuth	Transcriptomics, RNA, Statistics	sleuth	2023-05-31	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/sleuth	https://github.com/galaxyproject/tools-iuc/tree/main/tools/sleuth	0.30.1	r-sleuth	0.30.1	Expression data visualisation, Differential gene expression analysis, Gene expression profiling, Statistical calculation	Gene expression, Statistics and probability	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	141	141	26	26	0	0	0	0	0	0	0	0	141	141	26	26	True	False	False
snapatac2	snapatac2_clustering, snapatac2_peaks_and_motif, snapatac2_plotting, snapatac2_preprocessing	SnapATAC2 – A Python/Rust package for single-cell epigenomics analysis								To update	https://kzhang.org/SnapATAC2/	Single Cell, Epigenetics	snapatac2	2024-05-16	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/snapatac2	https://github.com/galaxyproject/tools-iuc/tree/main/tools/snapatac2	2.6.4					4	4	4	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1817	1817	14	14	4	4	2	2	136	136	4	4	1957	1957	20	20	True	False	True
spapros	spapros_evaluation, spapros_selection	Select and evaluate probe sets for targeted spatial transcriptomics.								Up-to-date	https://github.com/theislab/spapros	Single Cell, Transcriptomics, Sequence Analysis	spapros	2024-08-25	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/spapros/	https://github.com/galaxyproject/tools-iuc/tree/main/tools/spapros	0.1.5	spapros	0.1.5			0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	True	False	True
star_fusion	star_fusion	STAR Fusion detects fusion genes in RNA-Seq data after running RNA-STAR								To update	https://github.com/STAR-Fusion/STAR-Fusion	Sequence Analysis, Transcriptomics	star_fusion	2015-10-15	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/star_fusion	https://github.com/galaxyproject/tools-iuc/tree/main/tools/star_fusion	0.5.4-3+galaxy1	star-fusion	1.13.0			1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1312	1383	82	95	2198	3076	234	303	173	173	3	3	3683	4632	319	401	True	False	False
stringtie	stringtie, stringtie_merge	StringTie is a fast and highly efficient assembler of RNA-Seq alignments into potential transcripts.	stringtie	stringtie		StringTie	Fast and highly efficient assembler of RNA-Seq alignments into potential transcripts. It uses a novel network flow algorithm as well as an optional de novo assembly step to assemble and quantitate full-length transcripts representing multiple splice variants for each gene locus.	Transcriptome assembly, RNA-Seq analysis	Transcriptomics, RNA-seq	Up-to-date	http://ccb.jhu.edu/software/stringtie/	Transcriptomics	stringtie	2019-09-05	iuc	https://github.com/galaxyproject/tools-iuc/tree/master/tools/stringtie	https://github.com/galaxyproject/tools-iuc/tree/main/tools/stringtie	2.2.3	stringtie	2.2.3	Transcriptome assembly, RNA-Seq analysis	Transcriptomics	2	2	2	2	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	178677	187728	4972	5347	320780	407379	10825	15171	26375	28921	1032	1167	525832	624028	16829	21685	True	False	False
tophat_fusion_post	tophat_fusion_post	Wrapper for Tophat-Fusion post step								To update		Transcriptomics	tophat_fusion_post	2014-01-27	devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/tophat_fusion_post	https://github.com/galaxyproject/tools-devteam/tree/main/tools/tophat_fusion_post	0.1	blast+				0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	220	242	41	46	6	814	2	191	100	120	8	12	326	1176	51	249	True	False	False
